"gender","Dependents","tenure","PhoneService","MultipleLines","InternetService","StreamingTV","StreamingMovies","Contract","PaymentMethod","MonthlyCharges","TotalCharges","DailyCharges","Churn"
"Female","No",12,"Yes","No","Fiber optic","No","Yes","Month-to-month",NA,84.6,1017.35,16.92,"No"
"Male","No",10,"Yes","No","DSL",NA,"No","Month-to-month",NA,59.65,1415.425,11.93,"No"
"Female","Yes",22,"Yes","No","Fiber optic","No","Yes","Month-to-month","Electronic check",80.15,1790.65,16.03,"No"
"Male","No",48,"Yes","Yes","Fiber optic","No","Yes","Month-to-month",NA,91.05,1415.425,18.21,"No"
"Male","Yes",64,"Yes","No","No","No internet service","No internet service","Two year","Credit card (automatic)",19.9,1529.65,3.98,"No"
"Male","No",46,"Yes","No","No","No internet service","No internet service","Two year","Bank transfer (automatic)",20.05,902,4.01,"No"
"Male","Yes",72,"Yes","Yes","DSL",NA,"Yes","Two year","Bank transfer (automatic)",87.55,6463.15,17.51,"No"
"Male","Yes",68,NA,"No","Fiber optic","No","Yes",NA,NA,95.1,6683.4,19.02,"No"
"Female","Yes",55,"Yes","Yes","Fiber optic","Yes","Yes","One year","Mailed check",100.9,5448.6,20.18,NA
"Female","Yes",3,"Yes","No","DSL","No","No","Month-to-month","Mailed check",55.1,154.65,11.02,"Yes"
"Female","No",48,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Electronic check",70.3,5438.9,14.05,NA
"Male","No",31,"Yes","No","Fiber optic","No","No",NA,"Electronic check",87.6,1415.425,17.52,"No"
"Male","No",10,NA,"No","Fiber optic","Yes","Yes","Month-to-month","Electronic check",94.9,1048.85,18.98,"Yes"
"Female","No",13,"Yes","No","No","No internet service","No internet service","One year","Electronic check",19.65,244.8,3.93,"No"
"Male","No",64,"Yes","Yes","DSL","Yes","No","One year","Electronic check",81.25,5567.55,16.25,"No"
"Female","No",2,"Yes","No","Fiber optic","No","No","Month-to-month","Electronic check",70.7,151.65,14.14,"Yes"
"Male","No",12,"Yes",NA,"Fiber optic","Yes","Yes","Month-to-month","Mailed check",70.3,2192.9,14.05,"No"
"Male","Yes",13,"Yes","Yes","Fiber optic","No","No","Month-to-month","Credit card (automatic)",74.4,896.75,14.88,"Yes"
"Male","No",6,"Yes","No","Fiber optic","No","Yes",NA,"Electronic check",91,531,18.2,"Yes"
"Female","No",26,"Yes","Yes",NA,"No","No","Month-to-month","Electronic check",80.7,2193,16.14,"No"
"Female","Yes",42,"Yes","No","No","No internet service","No internet service","Two year","Mailed check",20,833.55,4,NA
"Female","Yes",14,"Yes","No",NA,"No","No","Month-to-month","Bank transfer (automatic)",59.45,780.85,11.89,"No"
"Male","No",44,"Yes","No","DSL","No","No","One year","Credit card (automatic)",60.3,3563.8,12.06,"Yes"
"Female","No",56,"Yes","Yes","Fiber optic",NA,"Yes","Month-to-month","Bank transfer (automatic)",100.65,5688.05,20.13,"Yes"
"Male","No",8,"Yes","No","Fiber optic","No","No","Month-to-month","Electronic check",70.3,609.9,14.05,"Yes"
"Female","Yes",68,"Yes",NA,"Fiber optic","No","No",NA,"Bank transfer (automatic)",84.7,5711.05,16.94,"No"
"Female","No",70,"Yes","Yes","DSL","No","No","Two year","Credit card (automatic)",65.3,4759.75,13.06,NA
"Male","Yes",1,NA,"No","DSL","No","No",NA,"Mailed check",45.85,1415.425,9.17,"Yes"
"Male","No",13,"Yes","No","Fiber optic",NA,"No",NA,"Credit card (automatic)",73.75,956.65,14.75,"No"
"Female","No",44,NA,"No","Fiber optic","Yes","Yes","One year","Electronic check",70.3,5276.1,14.05,"No"
"Male","No",70,NA,"No","Fiber optic","No","No","Two year","Bank transfer (automatic)",84.6,5706.2,16.92,NA
"Female","No",64,"Yes","No","DSL","Yes","No","Two year","Credit card (automatic)",59.8,3808.2,11.96,"No"
"Female","No",4,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Mailed check",100.85,1415.425,20.17,"No"
"Female","No",60,"Yes","Yes","Fiber optic",NA,"Yes","Month-to-month","Electronic check",105.9,6401.25,21.18,"No"
"Male","No",40,NA,NA,"Fiber optic",NA,NA,"Month-to-month","Mailed check",102.65,4108.15,20.53,"No"
"Female","Yes",1,"Yes","No","No","No internet service","No internet service","Month-to-month",NA,19.45,19.45,3.89,"No"
"Male","Yes",67,"Yes",NA,"No","No internet service","No internet service","Two year","Mailed check",70.3,1415.425,14.05,"No"
"Male","Yes",71,"Yes","No","Fiber optic","Yes","Yes","One year","Bank transfer (automatic)",70.3,7288.4,14.05,"No"
"Male","No",52,"Yes","No","Fiber optic","No","Yes","Month-to-month","Credit card (automatic)",83.8,1415.425,16.76,"No"
"Female","Yes",54,"Yes","Yes","DSL","No","No","Two year","Bank transfer (automatic)",59.8,3246.45,11.96,"No"
"Male","No",12,NA,"No","Fiber optic","Yes","No","Month-to-month",NA,81.45,912,16.29,"No"
"Female","Yes",66,"Yes","Yes","Fiber optic","No","No","One year","Bank transfer (automatic)",74.25,1415.425,14.85,"No"
"Female","No",18,"Yes","Yes","Fiber optic","Yes","No","Month-to-month","Credit card (automatic)",90,1527.35,18,"Yes"
"Male","No",64,"Yes","No","No","No internet service","No internet service","Two year","Credit card (automatic)",19.9,1110.05,3.98,"No"
"Male","Yes",13,NA,"No","Fiber optic","Yes","Yes","Month-to-month","Electronic check",97,1334.45,19.4,"No"
"Female","No",54,"Yes","No","Fiber optic","Yes","Yes","One year","Credit card (automatic)",94.1,5060.9,18.82,"No"
"Female","No",71,"Yes","Yes","No","No internet service","No internet service","Two year","Credit card (automatic)",25.6,1888.25,5.12,"No"
"Male","No",54,"Yes","Yes","DSL","Yes","Yes","Two year","Bank transfer (automatic)",87.1,4735.2,17.42,NA
"Female","No",19,"Yes","No","DSL","No",NA,"Month-to-month","Bank transfer (automatic)",45,865.85,9,"No"
"Female","No",12,"Yes","No",NA,"Yes","Yes",NA,"Electronic check",96,1062.1,19.2,"Yes"
"Male","Yes",31,"Yes","Yes","No","No internet service","No internet service","Two year",NA,25.75,755.6,5.15,"No"
"Male","No",1,"Yes","Yes",NA,"No","No",NA,"Electronic check",75.3,75.3,15.06,"Yes"
"Male","No",72,"Yes","Yes","Fiber optic","No",NA,"Two year","Bank transfer (automatic)",70.3,1415.425,14.05,"No"
"Male","No",24,"Yes","No","Fiber optic","No","Yes","Month-to-month","Electronic check",89.25,2210.2,17.85,"No"
"Male","No",12,"Yes","No","DSL",NA,NA,"Month-to-month","Mailed check",54.65,189.1,10.93,"No"
"Female","Yes",2,"Yes",NA,"Fiber optic","No","Yes","Month-to-month","Electronic check",80.2,181.1,16.04,"Yes"
"Male","Yes",12,"Yes","Yes",NA,"Yes","Yes","Month-to-month","Credit card (automatic)",105.1,7548.1,21.02,"Yes"
"Male","No",5,"Yes","No","DSL","Yes","Yes","Month-to-month","Bank transfer (automatic)",75.15,392.65,15.03,NA
"Male","No",9,"Yes","Yes","Fiber optic","No","Yes","Month-to-month",NA,83.85,790.15,16.77,"Yes"
"Male","Yes",27,"Yes","Yes","DSL","No","No","Month-to-month","Mailed check",70.3,1415.425,14.05,NA
"Male","No",58,"Yes",NA,"Fiber optic","Yes","Yes","Month-to-month","Electronic check",98.7,5812.6,19.74,"Yes"
"Female","Yes",23,"Yes","No","No","No internet service","No internet service","Two year","Mailed check",70.3,451.55,14.05,"No"
"Female","No",2,"Yes","No","DSL","Yes","No","Month-to-month","Electronic check",59,1415.425,11.8,"No"
"Female","No",20,"Yes",NA,"Fiber optic","Yes","No","Month-to-month","Electronic check",90.8,1951,18.16,"Yes"
"Female","No",7,"Yes","Yes","Fiber optic","No","No","Month-to-month","Electronic check",70.3,541.15,14.05,"Yes"
"Male","No",1,"Yes","Yes",NA,"Yes",NA,"Month-to-month","Electronic check",88.8,88.8,17.76,"Yes"
"Male","Yes",68,"Yes","Yes",NA,"No","Yes","Two year",NA,70.8,4859.95,14.16,"No"
"Male","No",53,"Yes",NA,"No","No internet service","No internet service","Two year","Mailed check",24.6,1279,4.92,"No"
"Female","Yes",65,"Yes","Yes","Fiber optic","Yes","Yes",NA,"Electronic check",109.3,1415.425,21.86,"No"
"Female","Yes",68,"Yes","Yes","Fiber optic","Yes","Yes","Two year","Bank transfer (automatic)",109.05,7508.55,21.81,"No"
"Female","No",3,"Yes","Yes","Fiber optic","No",NA,"Month-to-month","Bank transfer (automatic)",74.4,1415.425,14.88,"Yes"
"Female","Yes",72,"No","No phone service","DSL","Yes","Yes","Two year","Bank transfer (automatic)",64.45,1415.425,12.89,NA
"Male","No",30,"Yes","Yes","Fiber optic","Yes",NA,"Month-to-month","Bank transfer (automatic)",105.7,3181.8,21.14,"No"
"Female","No",1,"Yes","No","DSL","No","No","Month-to-month","Mailed check",50.45,50.45,10.09,"Yes"
"Female","Yes",12,"Yes","No",NA,"No","Yes","Month-to-month","Bank transfer (automatic)",64.5,177.4,12.9,"No"
"Female","Yes",65,"Yes","Yes","Fiber optic","Yes","Yes","One year","Electronic check",107.45,7047.5,21.49,NA
"Male","Yes",17,"Yes",NA,"Fiber optic","Yes",NA,"Month-to-month","Electronic check",94.4,1607.2,18.88,"Yes"
"Female","No",7,"Yes","Yes",NA,"No","No",NA,"Electronic check",75.35,1415.425,15.07,"No"
"Female","No",1,"Yes","No",NA,"Yes","Yes","Month-to-month","Electronic check",90.55,90.55,18.11,NA
"Male","No",20,"Yes","No","No","No internet service","No internet service","Month-to-month",NA,19.4,1415.425,3.88,"No"
"Male","No",53,"No","No phone service","DSL","Yes","Yes","One year","Credit card (automatic)",54.9,3045.75,10.98,"No"
"Male","No",44,"Yes","Yes","Fiber optic","Yes","Yes","One year","Credit card (automatic)",70.3,5275.8,14.05,"Yes"
"Female","Yes",55,"Yes","No","Fiber optic","No","No","Month-to-month","Electronic check",79.4,4238.45,15.88,NA
"Male","No",12,"Yes","Yes","Fiber optic","No",NA,"Month-to-month","Electronic check",84.6,1115.2,16.92,"Yes"
"Female","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Two year","Bank transfer (automatic)",110.45,7982.5,22.09,"No"
"Male","No",23,"Yes","No","No","No internet service","No internet service","One year","Bank transfer (automatic)",20.15,405.6,4.03,"No"
"Female","No",2,"Yes","No","Fiber optic",NA,"No","Month-to-month","Bank transfer (automatic)",69.75,144.55,13.95,"Yes"
"Female","No",71,"Yes","Yes","No","No internet service","No internet service","Two year","Credit card (automatic)",24.45,1681.6,4.89,NA
"Male","No",32,"Yes","Yes","Fiber optic",NA,"No",NA,NA,70.3,2303.35,14.05,"Yes"
"Male","Yes",56,"Yes","Yes","Fiber optic","Yes","Yes","Two year","Mailed check",115.85,6567.9,23.17,"No"
"Female","No",11,"Yes","Yes","Fiber optic",NA,"Yes","Month-to-month",NA,99.55,1131.2,19.91,"Yes"
"Male","No",44,"Yes","Yes","DSL","No","No","One year","Credit card (automatic)",59.9,3043.6,11.98,"No"
"Male","No",12,"Yes","Yes","Fiber optic",NA,"No","Month-to-month","Credit card (automatic)",70.3,2636.05,14.05,"Yes"
"Male","No",67,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Credit card (automatic)",70.3,1415.425,14.05,"No"
"Female","No",5,"No","No phone service","DSL","Yes","Yes","Month-to-month","Credit card (automatic)",50.95,229.4,10.19,"No"
"Female","No",4,"Yes","Yes","No","No internet service","No internet service","One year","Electronic check",23.9,97.5,4.78,"No"
"Female","Yes",58,"Yes","Yes","DSL","Yes",NA,"Month-to-month","Bank transfer (automatic)",66.8,3970.4,13.36,"No"
"Male","No",72,"Yes","Yes",NA,"Yes","Yes","Two year","Bank transfer (automatic)",85.95,1415.425,17.19,"No"
"Female","No",5,"Yes",NA,"Fiber optic","Yes",NA,"Month-to-month",NA,93.9,486.85,18.78,"Yes"
"Male","No",17,"Yes",NA,"No","No internet service","No internet service",NA,"Credit card (automatic)",19.45,369.05,3.89,"No"
"Male","Yes",43,"Yes",NA,"DSL","Yes",NA,NA,"Credit card (automatic)",79.15,3566.6,15.83,"No"
"Male","No",72,"Yes","Yes","Fiber optic","Yes","Yes","One year","Electronic check",104.95,7544.3,20.99,"No"
"Female","No",35,"Yes","Yes","Fiber optic",NA,NA,"Month-to-month",NA,86.45,3029.1,17.29,"Yes"
"Female","Yes",9,"Yes","No","Fiber optic","No","No","Month-to-month","Credit card (automatic)",75.5,637.4,15.1,"No"
"Male","No",17,"Yes","No","DSL","No","Yes","One year","Mailed check",64.8,1175.6,12.96,NA
"Female","No",12,"Yes","Yes","DSL","Yes","Yes","Month-to-month",NA,78.75,995.35,15.75,NA
"Male","Yes",1,"Yes","Yes","Fiber optic","No","No","Month-to-month","Electronic check",74.5,1415.425,14.9,"Yes"
"Male","Yes",64,"Yes","No","No","No internet service","No internet service","Two year","Credit card (automatic)",20.05,1360.25,4.01,"No"
"Female","No",26,"Yes","Yes","Fiber optic","No","Yes","Month-to-month","Electronic check",95,2497.2,19,"Yes"
"Male","No",57,"Yes","No","DSL",NA,"No",NA,"Credit card (automatic)",74.3,4166.35,14.86,"No"
"Female","Yes",16,"Yes","Yes","Fiber optic","Yes",NA,"Month-to-month","Electronic check",112.95,1882.55,22.59,"No"
"Female","No",2,"Yes","No","DSL","No","No","Month-to-month","Electronic check",49.25,91.1,9.85,"Yes"
"Female","Yes",10,"Yes","No","Fiber optic","Yes","No",NA,"Electronic check",91.1,964.35,18.22,"No"
"Male","No",47,"Yes","No","No","No internet service","No internet service","One year",NA,19.9,942.95,3.98,"No"
"Female","Yes",12,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",20.5,255.5,4.1,NA
"Male","No",26,"Yes","No","Fiber optic",NA,"No","One year","Electronic check",85.2,2184.6,17.04,"No"
"Female","Yes",49,"Yes",NA,"No","No internet service","No internet service","One year","Credit card (automatic)",19.45,921.3,3.89,"No"
"Female","Yes",1,"Yes","Yes","Fiber optic",NA,"No","Month-to-month","Mailed check",79.55,79.55,15.91,"Yes"
"Male","Yes",69,"Yes","No","Fiber optic","Yes","Yes","Two year","Credit card (automatic)",106.35,1415.425,21.27,"No"
"Female","No",63,"Yes","No","Fiber optic","No","No","One year",NA,81.15,5224.5,16.23,"No"
"Female","No",12,"Yes","No","Fiber optic","No","Yes","Month-to-month","Electronic check",89.4,1095.65,17.88,"Yes"
"Female","No",1,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",20.15,20.15,4.03,"Yes"
"Male","No",71,"Yes","Yes","No","No internet service","No internet service","Two year","Mailed check",24.65,1766.75,4.93,"No"
"Female","No",2,NA,"No","Fiber optic","No",NA,"Month-to-month","Mailed check",86.2,178.7,17.24,"Yes"
"Female","No",28,"Yes","No","Fiber optic","No","Yes","Month-to-month","Electronic check",81.05,2227.1,16.21,"Yes"
"Female","Yes",12,"Yes","No","DSL","No","No","Month-to-month",NA,51,286.8,10.2,"No"
"Male","No",61,"Yes","Yes","Fiber optic","Yes","Yes",NA,"Credit card (automatic)",104.4,6405,20.88,"Yes"
"Male","No",24,"Yes",NA,"Fiber optic",NA,"No","Month-to-month","Electronic check",78.85,1772.25,15.77,"Yes"
"Female","Yes",27,"Yes","No","No","No internet service","No internet service","One year",NA,20.55,1415.425,4.11,"No"
"Female","No",35,"Yes","No","No","No internet service","No internet service","Month-to-month","Bank transfer (automatic)",70.3,617.65,14.05,NA
"Male","No",18,"Yes","Yes","Fiber optic","No","No","Month-to-month","Credit card (automatic)",70.3,1411.65,14.05,"No"
"Female","No",29,"Yes","Yes","Fiber optic","No",NA,"Month-to-month",NA,74.2,1415.425,14.84,"No"
"Male","No",29,"Yes","No","No","No internet service","No internet service",NA,"Credit card (automatic)",20.05,679,4.01,"No"
"Female","No",12,"Yes","Yes","Fiber optic","Yes",NA,"Month-to-month","Mailed check",103.85,2215,20.77,"No"
"Female","No",12,"Yes","No","Fiber optic","No","Yes","Month-to-month","Electronic check",79.3,523.15,15.86,"Yes"
"Female","No",48,NA,NA,"DSL","No","Yes","Month-to-month","Bank transfer (automatic)",45.3,2145,9.06,"Yes"
"Female","No",2,"Yes","Yes","DSL","No","No","Month-to-month","Credit card (automatic)",56.55,1415.425,11.31,NA
"Male","Yes",59,"Yes",NA,NA,"No","No","One year","Credit card (automatic)",82.95,4903.15,16.59,"No"
"Female","No",53,"Yes","Yes","Fiber optic",NA,"Yes",NA,"Credit card (automatic)",98.4,1415.425,19.68,"Yes"
"Female","No",30,"Yes","Yes","DSL","Yes","No","One year","Credit card (automatic)",68.95,2038.7,13.79,"No"
"Male","No",1,"Yes","No","Fiber optic","Yes","Yes","Month-to-month",NA,95,95,19,"Yes"
"Male","No",1,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Electronic check",95.45,95.45,19.09,"Yes"
"Female","Yes",64,"Yes","No","No","No internet service","No internet service","Two year","Bank transfer (automatic)",20.5,1500.95,4.1,"No"
"Male","Yes",71,"No","No phone service","DSL","Yes","Yes","Two year","Bank transfer (automatic)",59.7,4122.65,11.94,"No"
"Female","Yes",25,"Yes",NA,"No","No internet service","No internet service",NA,"Electronic check",19.9,505.45,3.98,"No"
"Male","No",5,"Yes","No","Fiber optic","No","No","Month-to-month","Mailed check",71.45,371.6,14.29,"No"
"Female","No",66,"Yes","Yes","DSL","No","No","One year","Credit card (automatic)",70.3,1415.425,14.05,"No"
"Male","Yes",31,"No","No phone service","DSL","No","No","Month-to-month","Bank transfer (automatic)",35.4,1077.5,7.08,"Yes"
"Male","Yes",24,"Yes","Yes","DSL",NA,"No","Month-to-month","Electronic check",54.75,1338.15,10.95,"Yes"
"Male","No",10,"Yes","Yes","Fiber optic","No","No","Month-to-month","Credit card (automatic)",78.15,765.15,15.63,"No"
"Male","No",57,"Yes","No","DSL",NA,"No","Two year",NA,59.75,3450.15,11.95,"No"
"Male","No",71,NA,"No","No","No internet service","No internet service","Two year","Credit card (automatic)",19.8,1388.45,3.96,"No"
"Female","No",21,"Yes","No","No","No internet service","No internet service","Two year","Credit card (automatic)",70.3,435.25,14.05,"No"
"Male","No",50,"Yes",NA,"Fiber optic","No","Yes","Month-to-month","Credit card (automatic)",94.4,4914.9,18.88,"No"
"Female","Yes",13,"Yes","No","DSL","No","Yes","Month-to-month",NA,55.95,734.35,11.19,NA
"Female","Yes",29,"Yes","No","No","No internet service","No internet service","Two year","Mailed check",70.3,521.8,14.05,"No"
"Female","No",63,NA,"No","No","No internet service","No internet service","Two year","Mailed check",20.6,1298.7,4.12,"No"
"Female","No",1,"Yes","No","DSL","No","No","Month-to-month","Electronic check",49.55,49.55,9.91,"Yes"
"Female","No",1,"No","No phone service","DSL","No","No","Month-to-month",NA,24.7,1415.425,4.94,"No"
"Male","No",2,"Yes","No","DSL","No","No","Month-to-month","Mailed check",50.3,92.75,10.06,"No"
"Male","No",31,"Yes","No","No","No internet service","No internet service","Two year","Mailed check",20.45,638.55,4.09,"No"
"Female","Yes",29,"Yes","No","No","No internet service","No internet service",NA,"Credit card (automatic)",20.05,471.7,4.01,"No"
"Female","No",26,"Yes","No","Fiber optic","No",NA,"Month-to-month","Electronic check",78.8,2006.1,15.76,"No"
"Female","No",56,"Yes","Yes","Fiber optic","Yes","Yes","One year","Electronic check",110.5,6139.5,22.1,"No"
"Male","No",18,"Yes",NA,"DSL","No","No","Month-to-month","Mailed check",49.55,878.35,9.91,"Yes"
"Female","Yes",72,"Yes",NA,"Fiber optic","No","No","Two year","Bank transfer (automatic)",79.05,5730.7,15.81,"No"
"Male","No",26,"Yes","No",NA,"No","Yes","One year","Bank transfer (automatic)",70.3,2475.35,14.05,"No"
"Male","Yes",12,"Yes","No","DSL","No","No","Month-to-month",NA,49.9,49.9,9.98,"No"
"Male","No",21,"Yes","No","No","No internet service","No internet service","Month-to-month",NA,70.3,402.85,14.05,NA
"Female","Yes",64,"Yes","Yes","DSL","Yes","Yes","Two year","Bank transfer (automatic)",79.3,3902.45,15.86,"No"
"Female","No",65,"Yes","Yes","Fiber optic",NA,"Yes","Month-to-month","Credit card (automatic)",109.4,7227.45,21.88,"No"
"Female","No",59,NA,"No","Fiber optic","Yes","Yes","Two year","Mailed check",100.05,6034.85,20.01,"No"
"Male","No",15,"Yes","Yes","DSL","No","No","Month-to-month","Electronic check",51.55,765.5,10.31,"Yes"
"Male","No",62,"Yes","Yes","No","No internet service","No internet service","One year","Credit card (automatic)",23.75,1415.425,4.75,"No"
"Female","No",24,"Yes","No","No","No internet service","No internet service","One year","Credit card (automatic)",20.45,527.35,4.09,"No"
"Female","No",68,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Electronic check",100.2,6851.65,20.04,"Yes"
"Male","No",72,"No","No phone service","DSL","Yes",NA,"Two year","Credit card (automatic)",61.2,4390.25,12.24,"No"
"Female","Yes",15,"Yes","Yes","DSL","No","No","Month-to-month","Electronic check",51.1,711.15,10.22,"No"
"Male","No",21,"Yes","Yes","Fiber optic","No","No",NA,"Electronic check",82.35,1852.85,16.47,"Yes"
"Female","No",33,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Electronic check",100,3320.6,20,"No"
"Male","No",20,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month",NA,70.3,1842.8,14.05,"Yes"
"Male","No",16,"No","No phone service","DSL","Yes","No",NA,"Mailed check",39,679.85,7.8,"Yes"
"Female","No",1,"Yes","No","Fiber optic","No","No","Month-to-month","Electronic check",69.9,69.9,13.98,"Yes"
"Male","Yes",44,"Yes","Yes","DSL",NA,"Yes","One year",NA,79.45,2587.7,15.89,"Yes"
"Female","No",28,"Yes","Yes","Fiber optic","Yes","Yes","Month-to-month","Electronic check",106.15,3152.5,21.23,"Yes"
"Male","No",1,"Yes","No","DSL","Yes",NA,NA,NA,62.8,62.8,12.56,NA
"Female","No",57,"Yes","No","No","No internet service","No internet service","Two year","Bank transfer (automatic)",19.6,1415.425,3.92,"No"
"Female","Yes",67,"Yes","Yes","Fiber optic","Yes","Yes","Two year","Credit card (automatic)",106.7,7009.5,21.34,"No"
"Female","No",2,"Yes","No","Fiber optic","No","No",NA,NA,70.35,139.05,14.07,"Yes"
"Male","No",44,"Yes","No","Fiber optic","No","No","One year","Credit card (automatic)",90.65,3882.3,18.13,NA
"Female","Yes",12,"No","No phone service","DSL","Yes",NA,"Month-to-month","Bank transfer (automatic)",50.9,2333.85,10.18,"No"
"Female","Yes",32,"Yes","Yes","DSL","No","No","Month-to-month","Bank transfer (automatic)",62.45,2045.55,12.49,"No"
"Female","Yes",31,"Yes","No","No","No internet service","No internet service","One year","Credit card (automatic)",20.1,589.25,4.02,"No"
"Male","No",44,"Yes","No","DSL","No","No","One year","Mailed check",54,1055.9,10.8,"No"
"Male","No",64,NA,"No","DSL","Yes",NA,"Two year","Bank transfer (automatic)",70.1,4048.95,14.02,"No"
"Female","No",26,"Yes","Yes","Fiber optic",NA,NA,"Month-to-month","Credit card (automatic)",92.4,2349.8,18.48,"No"
"Female","No",48,"Yes","Yes","No","No internet service","No internet service","One year",NA,70.3,1203.95,14.05,"No"
"Male","Yes",63,"Yes","Yes","DSL","No",NA,NA,"Mailed check",67.25,4234.15,13.45,"No"
"Male","Yes",24,NA,NA,"No","No internet service","No internet service","Two year","Bank transfer (automatic)",24.1,587.4,4.82,"No"
"Male","No",1,"Yes","No","Fiber optic","Yes","No","Month-to-month","Electronic check",79.95,79.95,15.99,"Yes"
"Female","No",57,"No","No phone service","DSL",NA,"Yes","Month-to-month",NA,55,3094.05,11,"No"
"Male","Yes",2,"Yes","No","Fiber optic","No","Yes","Month-to-month","Credit card (automatic)",90,190.05,18,"Yes"
"Male","No",24,"Yes","No","Fiber optic","Yes","Yes","Month-to-month","Electronic check",90.35,2238.5,18.07,"Yes"
"Male","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Two year","Bank transfer (automatic)",115.8,8424.9,23.16,"No"
"Male","No",12,"No","No phone service","DSL",NA,"No","Month-to-month","Mailed check",34,442.45,6.8,"No"
"Female","No",61,"No","No phone service","DSL","No","No","One year",NA,43.7,1415.425,8.74,"No"
"Male","No",25,"Yes","No","Fiber optic","Yes",NA,"Month-to-month","Electronic check",105.5,2686.05,21.1,"No"
"Male","No",6,"Yes","No","Fiber optic","Yes","No","Month-to-month","Electronic check",79.7,497.6,15.94,"No"
"Female","No",44,"No","No phone service","DSL","No","No","One year","Mailed check",25.85,25.85,5.17,"No"
"Female","Yes",68,"No","No phone service","DSL","Yes","Yes","Two year","Electronic check",70.3,3656.25,14.05,"No"
"Female","No",54,"Yes","Yes","Fiber optic","No","No","Month-to-month","Electronic check",79.5,4370.25,15.9,"Yes"
"Male","No",17,"Yes","No","Fiber optic","No",NA,NA,"Credit card (automatic)",90.95,1415.425,18.19,"No"
"Male","No",41,"Yes","No","Fiber optic","Yes","No","One year","Electronic check",89.55,3729.75,17.91,"No"
"Male","No",25,"Yes",NA,"Fiber optic","Yes","Yes","Month-to-month","Mailed check",105.95,2655.25,21.19,"Yes"
"Female","No",71,"Yes","Yes","No","No internet service","No internet service","Two year","Bank transfer (automatic)",24.45,1730.65,4.89,"No"
"Male","No",12,"Yes","No","DSL",NA,NA,"Month-to-month","Electronic check",44.7,93.7,8.94,"Yes"
"Male","Yes",7,"No","No phone service","DSL","No","No","One year",NA,35.3,264.8,7.06,"No"
"Female","No",25,"Yes",NA,NA,"Yes","No","Month-to-month",NA,78.35,1415.425,15.67,"No"
"Male","No",1,NA,NA,"No","No internet service","No internet service","Month-to-month","Mailed check",20.2,1415.425,4.04,"Yes"
"Male","No",22,"Yes","No",NA,"No","No","Month-to-month","Mailed check",55.1,1253.15,11.02,"No"
"Male","Yes",15,"Yes","Yes","Fiber optic","Yes","Yes",NA,"Electronic check",93.35,1444.65,18.67,"Yes"
"Male","No",72,"Yes","Yes","Fiber optic","No","Yes",NA,"Bank transfer (automatic)",70.3,7581.5,14.05,"No"
"Female","No",68,"Yes","No","DSL","Yes","Yes","Two year","Credit card (automatic)",82.45,5646.6,16.49,"No"
"Male","No",9,"Yes","Yes",NA,"No","Yes","Month-to-month","Electronic check",88.05,801.3,17.61,"No"
"Female","No",28,"Yes","Yes","DSL","No","No","One year","Mailed check",59,1654.45,11.8,"No"
"Male","No",12,"Yes",NA,"Fiber optic","Yes","No","Month-to-month","Electronic check",80.55,80.55,16.11,"No"
"Female","No",51,"Yes","Yes","Fiber optic","Yes","Yes",NA,"Electronic check",111.5,5703.25,22.3,"No"
"Female","No",2,"Yes","No","DSL","No","No","Month-to-month","Credit card (automatic)",49.05,1415.425,9.81,"Yes"
"Female","No",64,"Yes","No","No","No internet service","No internet service","Two year","Credit card (automatic)",19.45,1208.6,3.89,"No"
"Female","No",12,"Yes",NA,"Fiber optic","No","No","Month-to-month","Bank transfer (automatic)",75.35,1114.55,15.07,"No"
"Male","No",25,"Yes","No","DSL","No","No","One year","Credit card (automatic)",54.75,1266.35,10.95,"No"
"Female","Yes",24,"Yes","No","No","No internet service","No internet service","One year","Mailed check",19.9,533.5,3.98,"No"
"Male","Yes",42,"Yes","No","No","No internet service","No internet service","One year",NA,70.3,1415.425,14.05,"No"
"Male","No",1,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",20.2,1415.425,4.04,"No"
"Male","Yes",56,"Yes",NA,"Fiber optic",NA,"No","Month-to-month","Credit card (automatic)",70.3,5432.2,14.05,"No"
"Female","No",7,"Yes",NA,"Fiber optic","Yes","Yes","Month-to-month","Electronic check",96.2,639.7,19.24,"No"
"Female","No",44,"Yes",NA,"Fiber optic","No","No","Month-to-month",NA,84.8,3862.55,16.96,"Yes"
"Male","No",1,"Yes","No","No","No internet service","No internet service","Month-to-month","Mailed check",20.05,20.05,4.01,"No"
"Male","No",9,"Yes","Yes","Fiber optic",NA,"No","Month-to-month","Electronic check",76.25,684.85,15.25,"No"
