"gender","Dependents","tenure","PhoneService","InternetService","StreamingTV","Contract","PaymentMethod","MonthlyCharges","Churn"
"Female","No",66,"Yes","Fiber optic","Yes","One year","Bank transfer (automatic)",108.1,"No"
"Female","No",52,"Yes","DSL","Yes","Month-to-month","Electronic check",59.45,"No"
"Male","No",44,"Yes","DSL","Yes","One year","Credit card (automatic)",80.45,"No"
"Male","No",14,"No","DSL","Yes","Month-to-month","Mailed check",31.1,"No"
"Male","No",2,"Yes","No","No internet service","Month-to-month","Mailed check",19.4,"No"
"Female","No",38,"Yes","Fiber optic","No","Month-to-month","Credit card (automatic)",84.25,"Yes"
"Female","Yes",58,"Yes","DSL","Yes","Two year","Electronic check",109.1,"No"
"Male","No",34,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",85.2,"No"
"Female","No",72,"Yes","DSL","Yes","Two year","Bank transfer (automatic)",88.05,"No"
"Female","No",13,"Yes","Fiber optic","No","Month-to-month","Electronic check",74.3,"Yes"
"Male","No",12,"Yes","DSL","Yes","Month-to-month","Electronic check",72.15,"Yes"
"Female","No",34,"Yes","DSL","Yes","One year","Bank transfer (automatic)",79.95,"No"
"Female","No",13,"No","DSL","No","Month-to-month","Electronic check",29.15,"No"
"Male","No",1,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",68.5,"Yes"
"Male","No",58,"Yes","No","No internet service","Month-to-month","Credit card (automatic)",20.3,"No"
"Male","No",54,"Yes","Fiber optic","Yes","Month-to-month","Mailed check",89.8,"No"
"Female","No",70,"Yes","DSL","Yes","Two year","Bank transfer (automatic)",75.5,"No"
"Male","No",56,"Yes","Fiber optic","No","One year","Electronic check",80.9,"No"
"Male","Yes",67,"Yes","DSL","Yes","Two year","Electronic check",70.3,"Yes"
"Male","No",66,"Yes","DSL","Yes","Two year","Credit card (automatic)",66.1,"No"
"Female","No",42,"Yes","No","No internet service","One year","Mailed check",20.65,"No"
"Female","Yes",45,"Yes","No","No internet service","Two year","Bank transfer (automatic)",24.65,"No"
"Female","No",26,"Yes","DSL","Yes","Month-to-month","Bank transfer (automatic)",69.5,"No"
"Male","No",5,"Yes","Fiber optic","No","Month-to-month","Bank transfer (automatic)",79.9,"Yes"
"Female","Yes",44,"Yes","Fiber optic","Yes","One year","Bank transfer (automatic)",90.1,"Yes"
"Female","No",12,"Yes","DSL","No","Month-to-month","Bank transfer (automatic)",54.65,"No"
"Male","No",22,"Yes","Fiber optic","No","Month-to-month","Electronic check",85.1,"Yes"
"Male","No",70,"Yes","Fiber optic","Yes","Two year","Bank transfer (automatic)",70.3,"No"
"Male","No",13,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",102.25,"Yes"
"Male","Yes",1,"Yes","DSL","No","Month-to-month","Electronic check",75.35,"Yes"
"Female","No",29,"No","DSL","No","One year","Credit card (automatic)",39.5,"No"
"Female","No",64,"Yes","DSL","No","Two year","Mailed check",68.3,"No"
"Male","No",43,"Yes","DSL","Yes","One year","Electronic check",56.35,"No"
"Female","No",35,"Yes","DSL","No","Month-to-month","Electronic check",60.55,"No"
"Female","Yes",71,"Yes","DSL","Yes","One year","Electronic check",85.45,"No"
"Male","No",27,"Yes","Fiber optic","No","Month-to-month","Electronic check",70.3,"No"
"Male","No",8,"Yes","Fiber optic","No","Month-to-month","Mailed check",70.1,"Yes"
"Female","No",4,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",94.3,"Yes"
"Male","No",54,"Yes","DSL","No","One year","Electronic check",65.25,"No"
"Male","Yes",72,"No","DSL","Yes","Two year","Bank transfer (automatic)",65.65,"No"
"Male","Yes",8,"Yes","No","No internet service","Month-to-month","Mailed check",19.35,"No"
"Male","No",1,"Yes","No","No internet service","Month-to-month","Mailed check",19.1,"No"
"Male","Yes",10,"Yes","No","No internet service","One year","Mailed check",20.45,"No"
"Male","No",2,"Yes","Fiber optic","No","Month-to-month","Electronic check",74.7,"Yes"
"Male","Yes",64,"Yes","DSL","No","Two year","Bank transfer (automatic)",54.65,"No"
"Female","No",62,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",70.3,"No"
"Male","No",53,"Yes","No","No internet service","Two year","Electronic check",19.5,"No"
"Male","No",43,"Yes","DSL","Yes","One year","Electronic check",80.2,"No"
"Female","No",36,"Yes","Fiber optic","No","Month-to-month","Electronic check",80.4,"No"
"Female","No",1,"Yes","DSL","Yes","Month-to-month","Electronic check",54.65,"No"
"Male","Yes",1,"No","DSL","No","Month-to-month","Mailed check",33.6,"No"
"Female","No",22,"Yes","DSL","No","Month-to-month","Electronic check",89.05,"No"
"Female","No",24,"Yes","No","No internet service","One year","Credit card (automatic)",70.3,"No"
"Female","No",32,"Yes","Fiber optic","No","One year","Electronic check",79.25,"No"
"Male","Yes",56,"Yes","Fiber optic","Yes","Two year","Electronic check",103.2,"No"
"Female","No",1,"No","DSL","No","Month-to-month","Mailed check",24.9,"No"
"Male","No",56,"Yes","Fiber optic","Yes","One year","Electronic check",107.25,"No"
"Male","Yes",60,"Yes","No","No internet service","Two year","Mailed check",20.55,"No"
"Female","No",4,"Yes","Fiber optic","No","Month-to-month","Bank transfer (automatic)",70.9,"Yes"
"Male","Yes",38,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",94.65,"Yes"
"Male","No",1,"Yes","DSL","No","Month-to-month","Electronic check",45.05,"Yes"
"Female","No",5,"Yes","No","No internet service","Month-to-month","Credit card (automatic)",19.85,"Yes"
"Male","Yes",26,"Yes","DSL","Yes","One year","Credit card (automatic)",82,"No"
"Female","Yes",44,"No","DSL","No","One year","Bank transfer (automatic)",50.7,"No"
"Female","No",55,"Yes","Fiber optic","No","Month-to-month","Electronic check",77.75,"Yes"
"Male","Yes",40,"Yes","DSL","No","Month-to-month","Mailed check",55.25,"Yes"
"Male","No",58,"Yes","DSL","Yes","Month-to-month","Electronic check",70.3,"No"
"Male","Yes",72,"Yes","DSL","No","Two year","Credit card (automatic)",66.5,"No"
"Male","Yes",72,"Yes","Fiber optic","Yes","Two year","Credit card (automatic)",106.1,"No"
"Female","No",62,"Yes","Fiber optic","Yes","One year","Electronic check",104.85,"No"
"Male","No",43,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",94.3,"No"
"Female","No",71,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",118.65,"No"
"Male","No",9,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",86.25,"No"
"Male","No",2,"No","DSL","No","Month-to-month","Electronic check",29.05,"No"
"Female","No",61,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",106.35,"No"
"Male","Yes",1,"Yes","DSL","No","Month-to-month","Mailed check",50.75,"No"
"Male","No",29,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",104.1,"No"
"Female","Yes",44,"Yes","Fiber optic","Yes","One year","Electronic check",104.4,"No"
"Male","Yes",3,"Yes","DSL","No","Month-to-month","Mailed check",70.3,"Yes"
"Male","No",4,"No","DSL","Yes","Month-to-month","Credit card (automatic)",50.95,"No"
"Male","No",11,"Yes","DSL","No","Month-to-month","Bank transfer (automatic)",60.25,"No"
"Male","No",4,"Yes","Fiber optic","No","Month-to-month","Bank transfer (automatic)",72.2,"Yes"
"Female","No",64,"Yes","No","No internet service","Two year","Bank transfer (automatic)",25.25,"No"
"Male","No",1,"Yes","No","No internet service","Month-to-month","Electronic check",19.55,"No"
"Male","No",12,"Yes","No","No internet service","Month-to-month","Electronic check",25.4,"No"
"Female","Yes",4,"Yes","Fiber optic","No","Month-to-month","Bank transfer (automatic)",84.05,"Yes"
"Male","No",19,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",88.2,"Yes"
"Female","Yes",33,"Yes","No","No internet service","Month-to-month","Mailed check",20.1,"No"
"Male","No",28,"Yes","Fiber optic","Yes","One year","Bank transfer (automatic)",91.25,"No"
"Male","No",61,"Yes","Fiber optic","Yes","Month-to-month","Bank transfer (automatic)",99.4,"No"
"Female","No",36,"Yes","DSL","Yes","One year","Bank transfer (automatic)",85.85,"No"
"Female","Yes",71,"Yes","No","No internet service","Two year","Credit card (automatic)",19.7,"No"
"Female","Yes",6,"Yes","Fiber optic","No","Month-to-month","Electronic check",90.75,"No"
"Female","No",9,"Yes","Fiber optic","No","Month-to-month","Electronic check",70.3,"No"
"Female","Yes",68,"Yes","No","No internet service","Two year","Bank transfer (automatic)",19.35,"No"
"Male","No",71,"Yes","Fiber optic","Yes","One year","Bank transfer (automatic)",70.3,"No"
"Male","Yes",12,"Yes","DSL","Yes","Month-to-month","Mailed check",69.85,"No"
"Male","Yes",69,"No","DSL","No","Two year","Mailed check",39.1,"No"
"Female","Yes",34,"Yes","Fiber optic","Yes","Two year","Credit card (automatic)",116.15,"No"
"Female","No",64,"Yes","DSL","Yes","Two year","Credit card (automatic)",70.2,"Yes"
"Female","Yes",4,"Yes","Fiber optic","Yes","Month-to-month","Mailed check",78.9,"No"
"Male","No",12,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",96.05,"Yes"
"Female","Yes",72,"Yes","No","No internet service","Month-to-month","Bank transfer (automatic)",25.2,"No"
"Male","No",47,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",103.1,"No"
"Male","No",7,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",70.3,"Yes"
"Male","No",44,"Yes","Fiber optic","No","One year","Electronic check",89.2,"No"
"Female","No",5,"No","DSL","No","Month-to-month","Electronic check",70.3,"Yes"
"Female","No",1,"Yes","Fiber optic","No","Month-to-month","Mailed check",70.3,"Yes"
"Male","No",1,"Yes","DSL","No","Month-to-month","Bank transfer (automatic)",44.05,"No"
"Female","No",56,"Yes","Fiber optic","No","Month-to-month","Bank transfer (automatic)",76.85,"No"
"Male","No",40,"No","DSL","No","One year","Electronic check",42.35,"Yes"
"Female","No",42,"Yes","No","No internet service","One year","Mailed check",70.3,"No"
"Female","Yes",1,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",80.05,"Yes"
"Female","No",71,"Yes","No","No internet service","Month-to-month","Bank transfer (automatic)",25,"No"
"Female","No",66,"Yes","Fiber optic","Yes","One year","Credit card (automatic)",104.6,"No"
"Female","No",29,"Yes","DSL","Yes","Month-to-month","Electronic check",89.15,"No"
"Female","No",37,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",100.3,"No"
"Male","Yes",55,"Yes","No","No internet service","One year","Mailed check",19.5,"No"
"Male","No",64,"Yes","DSL","Yes","Two year","Credit card (automatic)",70.3,"No"
"Male","Yes",68,"Yes","No","No internet service","Month-to-month","Electronic check",19.5,"No"
"Female","No",28,"Yes","DSL","No","One year","Electronic check",59.9,"No"
"Female","Yes",26,"Yes","DSL","No","Month-to-month","Mailed check",49.5,"No"
"Female","Yes",12,"No","DSL","Yes","Month-to-month","Electronic check",50.55,"No"
"Female","Yes",71,"Yes","DSL","Yes","Two year","Mailed check",91.05,"No"
"Male","Yes",68,"Yes","Fiber optic","No","Two year","Credit card (automatic)",90.2,"No"
"Female","No",34,"Yes","DSL","Yes","Month-to-month","Bank transfer (automatic)",70.3,"No"
"Female","No",12,"Yes","No","No internet service","Month-to-month","Mailed check",19.45,"No"
"Female","No",40,"Yes","Fiber optic","Yes","One year","Credit card (automatic)",103.75,"No"
"Female","No",5,"Yes","DSL","No","Month-to-month","Mailed check",50.6,"Yes"
"Male","No",21,"Yes","DSL","Yes","Month-to-month","Bank transfer (automatic)",65.35,"No"
"Male","No",12,"Yes","Fiber optic","No","Month-to-month","Credit card (automatic)",69.8,"Yes"
"Female","Yes",42,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",92.15,"No"
"Female","No",12,"Yes","Fiber optic","No","Month-to-month","Electronic check",84.6,"No"
"Male","No",10,"Yes","DSL","Yes","Month-to-month","Electronic check",59.65,"No"
"Female","Yes",22,"Yes","Fiber optic","No","Month-to-month","Electronic check",80.15,"No"
"Male","No",48,"Yes","Fiber optic","No","Month-to-month","Electronic check",91.05,"No"
"Male","Yes",64,"Yes","No","No internet service","Two year","Credit card (automatic)",19.9,"No"
"Male","No",46,"Yes","No","No internet service","Two year","Bank transfer (automatic)",20.05,"No"
"Male","Yes",72,"Yes","DSL","Yes","Two year","Bank transfer (automatic)",87.55,"No"
"Male","Yes",68,"Yes","Fiber optic","No","Month-to-month","Electronic check",95.1,"No"
"Female","Yes",3,"Yes","DSL","No","Month-to-month","Mailed check",55.1,"Yes"
"Male","No",31,"Yes","Fiber optic","No","Month-to-month","Electronic check",87.6,"No"
"Male","No",10,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",94.9,"Yes"
"Female","No",13,"Yes","No","No internet service","One year","Electronic check",19.65,"No"
"Male","No",64,"Yes","DSL","Yes","One year","Electronic check",81.25,"No"
"Female","No",2,"Yes","Fiber optic","No","Month-to-month","Electronic check",70.7,"Yes"
"Male","No",12,"Yes","Fiber optic","Yes","Month-to-month","Mailed check",70.3,"No"
"Male","Yes",13,"Yes","Fiber optic","No","Month-to-month","Credit card (automatic)",74.4,"Yes"
"Male","No",6,"Yes","Fiber optic","No","Month-to-month","Electronic check",91,"Yes"
"Female","No",26,"Yes","DSL","No","Month-to-month","Electronic check",80.7,"No"
"Female","Yes",14,"Yes","DSL","No","Month-to-month","Bank transfer (automatic)",59.45,"No"
"Male","No",44,"Yes","DSL","No","One year","Credit card (automatic)",60.3,"Yes"
"Female","No",56,"Yes","Fiber optic","Yes","Month-to-month","Bank transfer (automatic)",100.65,"Yes"
"Male","No",8,"Yes","Fiber optic","No","Month-to-month","Electronic check",70.3,"Yes"
"Female","Yes",68,"Yes","Fiber optic","No","Month-to-month","Bank transfer (automatic)",84.7,"No"
"Male","Yes",1,"Yes","DSL","No","Month-to-month","Mailed check",45.85,"Yes"
"Male","No",13,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",73.75,"No"
"Female","No",44,"Yes","Fiber optic","Yes","One year","Electronic check",70.3,"No"
"Female","No",64,"Yes","DSL","Yes","Two year","Credit card (automatic)",59.8,"No"
"Female","No",4,"Yes","Fiber optic","Yes","Month-to-month","Mailed check",100.85,"No"
"Female","No",60,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",105.9,"No"
"Male","No",40,"Yes","Fiber optic","Yes","Month-to-month","Mailed check",102.65,"No"
"Female","Yes",1,"Yes","No","No internet service","Month-to-month","Electronic check",19.45,"No"
"Male","Yes",67,"Yes","No","No internet service","Two year","Mailed check",70.3,"No"
"Male","Yes",71,"Yes","Fiber optic","Yes","One year","Bank transfer (automatic)",70.3,"No"
"Male","No",52,"Yes","Fiber optic","No","Month-to-month","Credit card (automatic)",83.8,"No"
"Female","Yes",54,"Yes","DSL","No","Two year","Bank transfer (automatic)",59.8,"No"
"Male","No",12,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",81.45,"No"
"Female","Yes",66,"Yes","Fiber optic","No","One year","Bank transfer (automatic)",74.25,"No"
"Female","No",18,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",90,"Yes"
"Male","No",64,"Yes","No","No internet service","Two year","Credit card (automatic)",19.9,"No"
"Male","Yes",13,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",97,"No"
"Female","No",54,"Yes","Fiber optic","Yes","One year","Credit card (automatic)",94.1,"No"
"Female","No",71,"Yes","No","No internet service","Two year","Credit card (automatic)",25.6,"No"
"Female","No",19,"Yes","DSL","No","Month-to-month","Bank transfer (automatic)",45,"No"
"Female","No",12,"Yes","DSL","Yes","Month-to-month","Electronic check",96,"Yes"
"Male","Yes",31,"Yes","No","No internet service","Two year","Electronic check",25.75,"No"
"Male","No",1,"Yes","DSL","No","Month-to-month","Electronic check",75.3,"Yes"
"Male","No",72,"Yes","Fiber optic","No","Two year","Bank transfer (automatic)",70.3,"No"
"Male","No",24,"Yes","Fiber optic","No","Month-to-month","Electronic check",89.25,"No"
"Male","No",12,"Yes","DSL","Yes","Month-to-month","Mailed check",54.65,"No"
"Female","Yes",2,"Yes","Fiber optic","No","Month-to-month","Electronic check",80.2,"Yes"
"Male","Yes",12,"Yes","DSL","Yes","Month-to-month","Credit card (automatic)",105.1,"Yes"
"Male","No",9,"Yes","Fiber optic","No","Month-to-month","Electronic check",83.85,"Yes"
"Male","No",58,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",98.7,"Yes"
"Female","Yes",23,"Yes","No","No internet service","Two year","Mailed check",70.3,"No"
"Female","No",2,"Yes","DSL","Yes","Month-to-month","Electronic check",59,"No"
"Female","No",20,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",90.8,"Yes"
"Female","No",7,"Yes","Fiber optic","No","Month-to-month","Electronic check",70.3,"Yes"
"Male","No",1,"Yes","DSL","Yes","Month-to-month","Electronic check",88.8,"Yes"
"Male","Yes",68,"Yes","DSL","No","Two year","Electronic check",70.8,"No"
"Male","No",53,"Yes","No","No internet service","Two year","Mailed check",24.6,"No"
"Female","Yes",65,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",109.3,"No"
"Female","Yes",68,"Yes","Fiber optic","Yes","Two year","Bank transfer (automatic)",109.05,"No"
"Female","No",3,"Yes","Fiber optic","No","Month-to-month","Bank transfer (automatic)",74.4,"Yes"
"Male","No",30,"Yes","Fiber optic","Yes","Month-to-month","Bank transfer (automatic)",105.7,"No"
"Female","No",1,"Yes","DSL","No","Month-to-month","Mailed check",50.45,"Yes"
"Female","Yes",12,"Yes","DSL","No","Month-to-month","Bank transfer (automatic)",64.5,"No"
"Male","Yes",17,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",94.4,"Yes"
"Female","No",7,"Yes","DSL","No","Month-to-month","Electronic check",75.35,"No"
"Male","No",20,"Yes","No","No internet service","Month-to-month","Electronic check",19.4,"No"
"Male","No",53,"No","DSL","Yes","One year","Credit card (automatic)",54.9,"No"
"Male","No",44,"Yes","Fiber optic","Yes","One year","Credit card (automatic)",70.3,"Yes"
"Male","No",12,"Yes","Fiber optic","No","Month-to-month","Electronic check",84.6,"Yes"
"Female","Yes",72,"Yes","Fiber optic","Yes","Two year","Bank transfer (automatic)",110.45,"No"
"Male","No",23,"Yes","No","No internet service","One year","Bank transfer (automatic)",20.15,"No"
"Female","No",2,"Yes","Fiber optic","Yes","Month-to-month","Bank transfer (automatic)",69.75,"Yes"
"Male","No",32,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",70.3,"Yes"
"Male","Yes",56,"Yes","Fiber optic","Yes","Two year","Mailed check",115.85,"No"
"Female","No",11,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",99.55,"Yes"
"Male","No",44,"Yes","DSL","No","One year","Credit card (automatic)",59.9,"No"
"Male","No",12,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",70.3,"Yes"
"Male","No",67,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",70.3,"No"
"Female","No",5,"No","DSL","Yes","Month-to-month","Credit card (automatic)",50.95,"No"
"Female","No",4,"Yes","No","No internet service","One year","Electronic check",23.9,"No"
"Female","Yes",58,"Yes","DSL","Yes","Month-to-month","Bank transfer (automatic)",66.8,"No"
"Male","No",72,"Yes","DSL","Yes","Two year","Bank transfer (automatic)",85.95,"No"
"Female","No",5,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",93.9,"Yes"
"Male","No",17,"Yes","No","No internet service","Month-to-month","Credit card (automatic)",19.45,"No"
"Male","Yes",43,"Yes","DSL","Yes","Month-to-month","Credit card (automatic)",79.15,"No"
"Male","No",72,"Yes","Fiber optic","Yes","One year","Electronic check",104.95,"No"
"Female","No",35,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",86.45,"Yes"
"Female","Yes",9,"Yes","Fiber optic","No","Month-to-month","Credit card (automatic)",75.5,"No"
"Male","Yes",1,"Yes","Fiber optic","No","Month-to-month","Electronic check",74.5,"Yes"
"Male","Yes",64,"Yes","No","No internet service","Two year","Credit card (automatic)",20.05,"No"
"Female","No",26,"Yes","Fiber optic","No","Month-to-month","Electronic check",95,"Yes"
"Male","No",57,"Yes","DSL","Yes","Month-to-month","Credit card (automatic)",74.3,"No"
"Female","Yes",16,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",112.95,"No"
"Female","No",2,"Yes","DSL","No","Month-to-month","Electronic check",49.25,"Yes"
"Female","Yes",10,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",91.1,"No"
"Male","No",47,"Yes","No","No internet service","One year","Electronic check",19.9,"No"
"Male","No",26,"Yes","Fiber optic","Yes","One year","Electronic check",85.2,"No"
"Female","Yes",49,"Yes","No","No internet service","One year","Credit card (automatic)",19.45,"No"
"Female","Yes",1,"Yes","Fiber optic","Yes","Month-to-month","Mailed check",79.55,"Yes"
"Male","Yes",69,"Yes","Fiber optic","Yes","Two year","Credit card (automatic)",106.35,"No"
"Female","No",63,"Yes","Fiber optic","No","One year","Electronic check",81.15,"No"
"Female","No",12,"Yes","Fiber optic","No","Month-to-month","Electronic check",89.4,"Yes"
"Female","No",1,"Yes","No","No internet service","Month-to-month","Mailed check",20.15,"Yes"
"Male","No",71,"Yes","No","No internet service","Two year","Mailed check",24.65,"No"
"Female","No",2,"Yes","Fiber optic","No","Month-to-month","Mailed check",86.2,"Yes"
"Female","No",28,"Yes","Fiber optic","No","Month-to-month","Electronic check",81.05,"Yes"
"Female","Yes",12,"Yes","DSL","No","Month-to-month","Electronic check",51,"No"
"Male","No",61,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",104.4,"Yes"
"Male","No",24,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",78.85,"Yes"
"Female","Yes",27,"Yes","No","No internet service","One year","Electronic check",20.55,"No"
"Male","No",18,"Yes","Fiber optic","No","Month-to-month","Credit card (automatic)",70.3,"No"
"Female","No",29,"Yes","Fiber optic","No","Month-to-month","Electronic check",74.2,"No"
"Male","No",29,"Yes","No","No internet service","Month-to-month","Credit card (automatic)",20.05,"No"
"Female","No",12,"Yes","Fiber optic","Yes","Month-to-month","Mailed check",103.85,"No"
"Female","No",12,"Yes","Fiber optic","No","Month-to-month","Electronic check",79.3,"Yes"
"Female","No",48,"Yes","DSL","No","Month-to-month","Bank transfer (automatic)",45.3,"Yes"
"Male","Yes",59,"Yes","DSL","No","One year","Credit card (automatic)",82.95,"No"
"Female","No",53,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",98.4,"Yes"
"Female","No",30,"Yes","DSL","Yes","One year","Credit card (automatic)",68.95,"No"
"Male","No",1,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",95,"Yes"
"Male","No",1,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",95.45,"Yes"
"Female","Yes",64,"Yes","No","No internet service","Two year","Bank transfer (automatic)",20.5,"No"
"Male","Yes",71,"No","DSL","Yes","Two year","Bank transfer (automatic)",59.7,"No"
"Female","Yes",25,"Yes","No","No internet service","Month-to-month","Electronic check",19.9,"No"
"Male","No",5,"Yes","Fiber optic","No","Month-to-month","Mailed check",71.45,"No"
"Female","No",66,"Yes","DSL","No","One year","Credit card (automatic)",70.3,"No"
"Male","Yes",31,"No","DSL","No","Month-to-month","Bank transfer (automatic)",35.4,"Yes"
"Male","Yes",24,"Yes","DSL","Yes","Month-to-month","Electronic check",54.75,"Yes"
"Male","No",10,"Yes","Fiber optic","No","Month-to-month","Credit card (automatic)",78.15,"No"
"Male","No",57,"Yes","DSL","Yes","Two year","Electronic check",59.75,"No"
"Male","No",71,"Yes","No","No internet service","Two year","Credit card (automatic)",19.8,"No"
"Female","No",21,"Yes","No","No internet service","Two year","Credit card (automatic)",70.3,"No"
"Male","No",50,"Yes","Fiber optic","No","Month-to-month","Credit card (automatic)",94.4,"No"
"Female","Yes",29,"Yes","No","No internet service","Two year","Mailed check",70.3,"No"
"Female","No",63,"Yes","No","No internet service","Two year","Mailed check",20.6,"No"
"Female","No",1,"Yes","DSL","No","Month-to-month","Electronic check",49.55,"Yes"
"Female","No",1,"No","DSL","No","Month-to-month","Electronic check",24.7,"No"
"Male","No",2,"Yes","DSL","No","Month-to-month","Mailed check",50.3,"No"
"Male","No",31,"Yes","No","No internet service","Two year","Mailed check",20.45,"No"
"Female","Yes",29,"Yes","No","No internet service","Month-to-month","Credit card (automatic)",20.05,"No"
"Female","No",26,"Yes","Fiber optic","No","Month-to-month","Electronic check",78.8,"No"
"Female","No",56,"Yes","Fiber optic","Yes","One year","Electronic check",110.5,"No"
"Male","No",18,"Yes","DSL","No","Month-to-month","Mailed check",49.55,"Yes"
"Female","Yes",72,"Yes","Fiber optic","No","Two year","Bank transfer (automatic)",79.05,"No"
"Male","No",26,"Yes","DSL","No","One year","Bank transfer (automatic)",70.3,"No"
"Male","Yes",12,"Yes","DSL","No","Month-to-month","Electronic check",49.9,"No"
"Female","Yes",64,"Yes","DSL","Yes","Two year","Bank transfer (automatic)",79.3,"No"
"Female","No",65,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",109.4,"No"
"Female","No",59,"Yes","Fiber optic","Yes","Two year","Mailed check",100.05,"No"
"Male","No",15,"Yes","DSL","No","Month-to-month","Electronic check",51.55,"Yes"
"Male","No",62,"Yes","No","No internet service","One year","Credit card (automatic)",23.75,"No"
"Female","No",24,"Yes","No","No internet service","One year","Credit card (automatic)",20.45,"No"
"Female","No",68,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",100.2,"Yes"
"Male","No",72,"No","DSL","Yes","Two year","Credit card (automatic)",61.2,"No"
"Female","Yes",15,"Yes","DSL","No","Month-to-month","Electronic check",51.1,"No"
"Male","No",21,"Yes","Fiber optic","No","Month-to-month","Electronic check",82.35,"Yes"
"Female","No",33,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",100,"No"
"Male","No",20,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",70.3,"Yes"
"Male","No",16,"No","DSL","Yes","Month-to-month","Mailed check",39,"Yes"
"Female","No",1,"Yes","Fiber optic","No","Month-to-month","Electronic check",69.9,"Yes"
"Male","Yes",44,"Yes","DSL","Yes","One year","Electronic check",79.45,"Yes"
"Female","No",28,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",106.15,"Yes"
"Female","No",57,"Yes","No","No internet service","Two year","Bank transfer (automatic)",19.6,"No"
"Female","Yes",67,"Yes","Fiber optic","Yes","Two year","Credit card (automatic)",106.7,"No"
"Female","No",2,"Yes","Fiber optic","No","Month-to-month","Electronic check",70.35,"Yes"
"Female","Yes",12,"No","DSL","Yes","Month-to-month","Bank transfer (automatic)",50.9,"No"
"Female","Yes",32,"Yes","DSL","No","Month-to-month","Bank transfer (automatic)",62.45,"No"
"Female","Yes",31,"Yes","No","No internet service","One year","Credit card (automatic)",20.1,"No"
"Male","No",44,"Yes","DSL","No","One year","Mailed check",54,"No"
"Male","No",64,"Yes","DSL","Yes","Two year","Bank transfer (automatic)",70.1,"No"
"Female","No",26,"Yes","Fiber optic","Yes","Month-to-month","Credit card (automatic)",92.4,"No"
"Female","No",48,"Yes","No","No internet service","One year","Electronic check",70.3,"No"
"Male","Yes",63,"Yes","DSL","No","Month-to-month","Mailed check",67.25,"No"
"Male","Yes",24,"Yes","No","No internet service","Two year","Bank transfer (automatic)",24.1,"No"
"Male","No",1,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",79.95,"Yes"
"Female","No",57,"No","DSL","Yes","Month-to-month","Electronic check",55,"No"
"Male","Yes",2,"Yes","Fiber optic","No","Month-to-month","Credit card (automatic)",90,"Yes"
"Male","No",24,"Yes","Fiber optic","Yes","Month-to-month","Electronic check",90.35,"Yes"
"Male","No",72,"Yes","Fiber optic","Yes","Two year","Bank transfer (automatic)",115.8,"No"
"Male","No",12,"No","DSL","Yes","Month-to-month","Mailed check",34,"No"
"Female","No",61,"No","DSL","No","One year","Electronic check",43.7,"No"
